highest,episode,time
1,100,00:01:33
2,117,00:01:47
3,194,00:03:12
4,258,00:04:19
5,406,00:07:12
6,473,00:08:28
7,499,00:09:03
8,546,00:09:56
9,548,00:09:58
10,775,00:14:33
11,777,00:14:35
12,778,00:14:37
13,817,00:15:21
14,855,00:16:07
15,874,00:16:34
16,882,00:16:47
17,952,00:18:16
18,1050,00:20:22
19,1062,00:20:37
20,1068,00:20:45
21,1072,00:20:51
22,1201,00:24:05
23,1229,00:24:42
24,1309,00:26:38
25,1321,00:26:51
26,1340,00:27:20
27,1342,00:27:27
28,1354,00:27:34
29,1357,00:27:36
30,1358,00:27:36
31,1364,00:27:47
32,1368,00:27:53
33,1384,00:28:08
34,1389,00:28:15
35,1391,00:28:19
