highest,episode,time
1,20,00:02:40
2,30,00:04:19
3,38,00:05:21
4,39,00:05:22
5,40,00:05:28
6,42,00:05:40
7,43,00:05:50
8,44,00:05:55
9,49,00:06:35
10,56,00:07:19
11,59,00:07:58
12,61,00:08:09
13,64,00:08:21
14,71,00:09:38
15,76,00:10:01
16,79,00:10:53
17,84,00:11:21
18,87,00:12:09
19,92,00:12:28
20,96,00:12:58
21,97,00:12:59
22,99,00:13:10
23,100,00:13:18
24,101,00:13:19
25,102,00:13:30
26,106,00:13:50
27,108,00:14:02
28,109,00:14:07
29,111,00:14:55
30,113,00:15:03
31,116,00:15:17
32,117,00:15:19
33,119,00:15:28
34,122,00:15:48
35,123,00:15:53
36,125,00:15:58
37,126,00:16:04
38,127,00:16:09
39,134,00:16:51
40,136,00:17:08
41,146,00:17:53
42,147,00:17:54
43,150,00:18:07
44,151,00:18:14
45,152,00:18:15
46,157,00:18:40
47,161,00:18:57
48,164,00:19:01
49,165,00:19:09
50,166,00:19:17
51,169,00:19:19
52,170,00:19:25
53,171,00:19:26
54,176,00:19:40
55,177,00:20:02
56,178,00:20:06
57,179,00:20:10
58,180,00:20:12
59,181,00:20:15
60,182,00:20:16
61,183,00:20:25
62,184,00:20:27
63,185,00:20:31
64,186,00:20:43
65,187,00:20:50
66,191,00:21:03
67,192,00:21:07
68,194,00:21:16
69,195,00:21:16
70,256,00:25:31
71,257,00:25:38
72,258,00:25:43
73,259,00:25:44
74,266,00:26:02
75,267,00:26:03
76,268,00:26:03
77,271,00:26:09
78,273,00:26:18
79,274,00:26:26
80,282,00:26:44
81,283,00:26:44
82,299,00:27:31
83,302,00:27:41
84,350,00:29:42
85,352,00:29:54
86,504,00:37:29
87,505,00:37:31
88,509,00:37:44
89,516,00:38:03
90,532,00:38:38
91,654,00:43:04
92,657,00:43:11
93,658,00:43:15
94,667,00:43:36
95,669,00:43:37
